scraped_date,codigo,cotacao,data_cotacao,setor,subsetor,valor_mercado,valor_firma,numero_acoes,pl,lpa,pvp,vpa,pebit,marg_bruta,psr,marg_ebit,pativos,marg_liquida,p_cap_giro,ebit_ativo,p_ativ_circ_liq,roic,div_yield,roe,ev_ebitida,liquidez_corr,giro_ativos,div_br_patrim,cres_rec_5a,ativo,disponibilidades,ativo_circulante,div_bruta,div_liquida,patrimonio_liquido,receita_Liquida_12,receita_Liquida_3,ebit_12,ebit_3,lucro_liquido_12,lucro_liquido_3
2020-06-05 11:20:16.304060,BRGE3,8.16,2020-06-04 00:00:00,Financeiros,Bancos,600951000,29282400,73646000,11.96,0.68,0.5,16.44,1.34,2.331,20.53,15.323,0.19,2.685,2.11,0.14400000000000002,1.66,0.177,0,0.040999999999999995,0.07,0.77,0.07,0,0.006,3111670000,571669000, 0.0 , 0.0 , 0.0 ,571669000,29269000,7068000,448475000,118370000,448475000,118370000
2020-06-05 11:20:16.304060,BRGE8,6.3,2020-06-02 00:00:00,Financeiros,Bancos,463970000,-107699000,73646000,9.24,0.68,0.38,16.44,1.03,2.331,15.85,15.323,0.15,2.685,1.63,0.14400000000000002,1.29,0.177,0.046,0.040999999999999995,0.24,0.77,0.24,0,0.006,3111670000,571669000, 0.0 , 0.0 , 0.0 ,571669000,29269000,7068000,448475000,118370000,448475000,118370000
2020-06-05 11:20:16.304060,BPAN4,8.96,2020-06-04 00:00:00,Financeiros,Bancos,10797300000,-,1205060000,18.29,0.49,2.15,4.17,0,0,0,0,0,0,0,0,0,0,0.019,0.11800000000000001,0,0,0,0,0.11800000000000001,33738500000,23132400000, 0.0 , 0.0 , 0.0 ,5021900000,4441420000,1065250000,403690000,103842000,403690000,103842000
2020-06-05 11:20:16.304060,BPAC5,19.35,2020-06-04 00:00:00,Financeiros,Bancos,50422800000,-,2605830000,22.66,0.85,2.29,8.44,0,0,0,0,0,0,0,0,0,0,0.023,0.10099999999999999,0,0,0,0,0.773,236221000000,24388600000, 0.0 , 0.0 , 0.0 ,21998900000,301341000,3375060000,1583330000,435445000,1583330000,435445000
2020-06-05 11:20:16.304060,BRGE11,12,2020-06-02 00:00:00,Financeiros,Bancos,883752000,312083000,73646000,17.59,0.68,0.73,16.44,1.97,2.331,30.19,15.323,0.28,2.685,3.1,0.14400000000000002,2.45,0.177,0.028999999999999998,0.040999999999999995,0.7,0.77,0.7,0,0.006,3111670000,571669000, 0.0 , 0.0 , 0.0 ,571669000,29269000,7068000,448475000,118370000,448475000,118370000
2020-06-05 11:20:16.304060,BRGE6,10.5,2020-03-24 00:00:00,Financeiros,Bancos,773283000,201614000,73646000,15.39,0.68,0.64,16.44,1.72,2.331,26.42,15.323,0.25,2.685,2.71,0.14400000000000002,2.14,0.177,0.066,0.040999999999999995,0.45,0.77,0.45,0,0.006,3111670000,571669000, 0.0 , 0.0 , 0.0 ,571669000,29269000,7068000,448475000,118370000,448475000,118370000
2020-06-05 11:20:16.304060,RPAD5,8.5,2020-06-04 00:00:00,Financeiros,Bancos,719797000,710231000,84682000,17.17,0.5,0.71,11.96,176.77,0.948,2665.91,15.082,0.7,155.296,415.11,0.004,344.9,0.004,0.062,0.040999999999999995,174.42,0.86,174.42,0,0.08800000000000001,1026340000,9566000, 0.0 , 0.0 , 0.0 ,9566000,270000,71000,4072000,1366000,4072000,1366000
2020-06-05 11:20:16.304060,RPAD6,5.85,2020-06-04 00:00:00,Financeiros,Bancos,495390000,485824000,84682000,11.81,0.5,0.49,11.96,121.66,0.948,1834.78,15.082,0.48,155.296,285.69,0.004,237.38,0.004,0,0.040999999999999995,119.31,0.86,119.31,0,0.08800000000000001,1026340000,9566000, 0.0 , 0.0 , 0.0 ,9566000,270000,71000,4072000,1366000,4072000,1366000
2020-06-05 11:20:16.304060,BPAC3,26.8,2020-06-04 00:00:00,Financeiros,Bancos,69836300000,-,2605830000,31.38,0.85,3.17,8.44,0,0,0,0,0,0,0,0,0,0,0.017,0.10099999999999999,0,0,0,0,0.773,236221000000,24388600000, 0.0 , 0.0 , 0.0 ,21998900000,301341000,3375060000,1583330000,435445000,1583330000,435445000
2020-06-05 11:20:16.304060,BMIN4,17.5,2020-06-03 00:00:00,Financeiros,Bancos,84437500,-,4825000,29.52,0.59,0.68,25.61,0,0,0,0,0,0,0,0,0,0,0.08,0.023,0,0,0,0,0.122,195027000,39647000, 0.0 , 0.0 , 0.0 ,123580000,10145000,2342000,3760000,581000,3760000,581000
